2,HV,5135,1122011
3,HV,6583,23122011
1,HV,5287,5012012
2,HV,5133,20122011
2,HV,6787,14112011
4,HV,6875,10022012
2,HV,6583,13112011
1,HV,6035,31032014
1,HV,6035,19122011
2,HV,5133,5112011
1,HV,6787,11122011
1,HV,5135,16122011
2,HV,6061,2112011
3,HV,6061,11112011
4,HV,6061,4112011
2,HV,6061,11112011
1,HV,6035,12122011
4,HV,6317,5112011
6,HV,6317,17112011
5,HV,6031,25022012
7,HV,6031,3112011
4,HV,5135,11112011
2,HV,5287,17112011
2,HV,6061,25012012
2,HV,6787,30122011
2,HV,5135,27032012
1,HV,5287,2122011
2,HV,6061,16112011
2,HV,6031,3032012
6,HV,5135,3112011
2,HV,5135,3112011
9,HV,5135,4112011
9,HV,5135,4112011
9,HV,5133,21112011
2,HV,5135,11012012
2,HV,6875,28112011
1,HV,6787,30122011
2,HV,6317,20122011
2,HV,6031,31122011
2,HV,5135,23022012
2,HV,5131,28112011
1,HV,5495,31032014
6,HV,6061,11112011
2,HV,6031,18022012
9,HV,5135,3112011
1,HV,5135,4112011
2,HV,5133,14112011
4,HV,5287,11112011
2,HV,6061,23032012
2,HV,6061,16112011
2,HV,6035,28122011
2,HV,6317,8112011
1,HV,6031,24122011
1,HV,6061,23112011
2,HV,5135,27122011
2,HV,5133,10112011
2,HV,5135,2112011
4,HV,6031,25022012
2,HV,6787,30122011
2,HV,6787,2112011
4,HV,6061,9122011
2,HV,6061,12122011
4,HV,6061,23122011
2,HV,6031,5112011
4,HV,6787,7112011
2,HV,6583,11122011
2,HV,5135,26012012
2,HV,5133,24122011
1,HV,5133,25032012
2,HV,6031,15122011
2,HV,6317,29122011
3,HV,5135,23122011
2,HV,6035,28112011
2,HV,6061,2112011
4,HV,5135,5112011
2,HV,6317,19112011
1,HV,5991,31032014
4,HV,6061,23122011
1,HV,5135,23112011
4,HV,6031,10112011
1,HV,6035,31032014
2,HV,6035,28122011
4,HV,6031,24112011
2,HV,5135,30112011
2,HV,5135,30112011
2,HV,6031,3112011
4,HV,6787,25122011
2,HV,6787,19032012
2,HV,5135,4112011
2,HV,6317,31032012
1,HV,5135,14122011
2,HV,6317,19112011
4,HV,6317,27122011
1,HV,5133,21112011
1,HV,6771,31032014
5,HV,5135,25022012
1,HV,6583,9112011
2,HV,6061,26022012
1,HV,6061,25112011
1,HV,6583,27112011
